GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.configuration,RemoteArgumentsArrayBuilder,0,113,0,11,0,21,0,9,0,3
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.configuration,LogLevel,0,48,0,0,0,6,0,2,0,2
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.configuration,ProxyConfiguration,2,171,1,15,0,32,1,19,0,12
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.configuration,RemoteConfiguration,80,0,0,0,22,0,12,0,12,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.configuration,JMeterProcessJVMSettings,85,0,0,0,25,0,10,0,10,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.configuration,JMeterCommandLineArguments,0,308,0,0,0,31,0,3,0,3
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.configuration,JMeterArgumentsArray,66,599,13,53,11,139,12,49,1,18
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,ConfigureJMeterMojo,2098,0,156,0,345,0,102,0,23,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,RunJMeterGUIMojo,128,0,2,0,32,0,5,0,4,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,AbstractJMeterMojo,143,82,19,7,35,27,12,6,1,4
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,RunJMeterMojo,123,0,6,0,24,0,5,0,2,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,PerfanaClient.KeepAliveRunner,12,0,0,0,5,0,2,0,2,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,JMeterConfigurationHolder,70,0,6,0,24,0,13,0,10,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,PerfanaClient,428,0,22,0,83,0,18,0,7,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,RunJMeterServer,223,0,12,0,46,0,10,0,4,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,HelpMojo,893,0,110,0,159,0,71,0,16,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,ConfigureJMeterMojo.new PerfanaClient.Logger() {...},30,0,0,0,9,0,5,0,5,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,CheckResultsMojo,175,0,14,0,26,0,9,0,2,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.mojo,PerfanaClient.SystemOutLogger,47,0,0,0,9,0,5,0,5,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.json,TestConfig,54,129,9,5,13,33,10,9,3,9
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.testrunner,ResultScanner,25,137,3,9,3,28,3,10,0,7
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.testrunner,TestManager,393,0,36,0,91,0,25,0,7,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.testrunner,JMeterProcessBuilder,185,0,8,0,41,0,10,0,6,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.testrunner,TestManager.new Thread() {...},16,0,0,0,4,0,2,0,2,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.properties,PropertiesMapping,3,13,0,0,1,6,1,3,1,3
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.properties,ReservedProperties,3,66,0,0,1,10,1,3,1,3
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.properties,ConfigurationFiles,0,105,0,0,0,14,0,4,0,4
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.properties,PropertiesFile,0,260,0,24,0,58,0,23,0,11
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.utility,UtilityFunctions,1,88,1,19,0,12,1,16,0,7
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.exceptions,IOException,0,5,0,0,0,2,0,1,0,1
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.exceptions,ResultsFileNotFoundException,5,0,0,0,2,0,1,0,1,0
perfana-jmeter-maven-plugin,com.lazerycode.jmeter.exceptions,DependencyResolutionException,9,0,0,0,4,0,2,0,2,0
